MoleculeType	Identifier	MoleculeName	
Proteins	P53582	UniProt:P53582 METAP1	
Proteins	P50579	UniProt:P50579 METAP2	
Proteins	Q7Z624	UniProt:Q7Z624 CAMKMT	
Proteins	O60721	UniProt:O60721 SLC24A1	
Proteins	Q8IVA1	UniProt:Q8IVA1 PCP2	
Proteins	P81274	UniProt:P81274 GPSM2	
Proteins	Q9Y4H4	UniProt:Q9Y4H4 GPSM3	
Proteins	Q86YR5	UniProt:Q86YR5 GPSM1	
Proteins	P38405	UniProt:P38405 GNAL	
Proteins	Q14643	UniProt:Q14643 ITPR1	
Proteins	Q14573	UniProt:Q14573 ITPR3	
Proteins	Q14571	UniProt:Q14571 ITPR2	
Proteins	O43865	UniProt:O43865 AHCYL1	
Proteins	P09471	UniProt:P09471 GNAO1	
Proteins	Q15147	UniProt:Q15147 PLCB4	
Proteins	Q01970	UniProt:Q01970 PLCB3	
Proteins	Q9NQ66	UniProt:Q9NQ66 PLCB1	
Proteins	Q00722	UniProt:Q00722 PLCB2	
Proteins	P47712	UniProt:P47712 PLA2G4A	
Proteins	P28482	UniProt:P28482 MAPK1	
Proteins	P25098	UniProt:P25098 GRK2	
Proteins	P54750	UniProt:P54750 PDE1A	
Proteins	Q14123	UniProt:Q14123 PDE1C	
Proteins	Q01064	UniProt:Q01064 PDE1B	
Proteins	P17612	UniProt:P17612 PRKACA	
Proteins	P22694	UniProt:P22694 PRKACB	
Proteins	P22612	UniProt:P22612 PRKACG	
Proteins	P13861	UniProt:P13861 PRKAR2A	
Proteins	P31323	UniProt:P31323 PRKAR2B	
Proteins	P10644	UniProt:P10644 PRKAR1A	
Proteins	P31321	UniProt:P31321 PRKAR1B	
Proteins	Q8NFP9	UniProt:Q8NFP9 NBEA	
Proteins	P16220	UniProt:P16220 CREB1	
Proteins	P51817	UniProt:P51817 PRKX	
Proteins	Q13555	UniProt:Q13555 CAMK2G	
Proteins	Q13557	UniProt:Q13557 CAMK2D	
Proteins	Q13554	UniProt:Q13554 CAMK2B	
Proteins	Q9UQM7	UniProt:Q9UQM7 CAMK2A	
Proteins	P52292	UniProt:P52292 KPNA2	
Proteins	Q16566	UniProt:Q16566 CAMK4	
Proteins	Q96RR4	UniProt:Q96RR4 CAMKK2	
Proteins	Q8N5S9	UniProt:Q8N5S9 CAMKK1	
Proteins	Q9UD71	UniProt:Q9UD71 PPP1R1B	
Proteins	P62136	UniProt:P62136 PPP1CA	
Proteins	P16298	UniProt:P16298 PPP3CB	
Proteins	Q08209	UniProt:Q08209 PPP3CA	
Proteins	P48454	UniProt:P48454 PPP3CC	
Proteins	Q07343	UniProt:Q07343 PDE4B	
Proteins	P63098	UniProt:P63098 PPP3R1	
Proteins	Q08493	UniProt:Q08493 PDE4C	
Proteins	Q08499	UniProt:Q08499 PDE4D	
Proteins	P27815	UniProt:P27815 PDE4A	
Proteins	Q00535	UniProt:Q00535 CDK5	
Proteins	P30153	UniProt:P30153 PPP2R1A	
Proteins	P30154	UniProt:P30154 PPP2R1B	
Proteins	P67775	UniProt:P67775 PPP2CA	
Proteins	P62714	UniProt:P62714 PPP2CB	
Proteins	Q14738	UniProt:Q14738 PPP2R5D	
Proteins	Q8NE09	UniProt:Q8NE09 RGS22	
Proteins	P21731	UniProt:P21731 TBXA2R	
Proteins	P35368	UniProt:P35368 ADRA1B	
Proteins	P35348	UniProt:P35348 ADRA1A	
Proteins	P25100	UniProt:P25100 ADRA1D	
Proteins	Q03113	UniProt:Q03113 GNA12	
